ZIP,county,msa,st_code,state
00501,Suffolk,Nassau-Suffolk,NY,New York
00544,Suffolk,Nassau-Suffolk,NY,New York
01001,Hampden,Springfield,MA,Massachusetts
01002,Hampshire,Springfield,MA,Massachusetts
01003,Hampshire,Springfield,MA,Massachusetts
01004,Hampshire,Springfield,MA,Massachusetts
01005,Worcester,"Worcester, MA-CT",MA,Massachusetts
01007,Hampshire,Springfield,MA,Massachusetts
01009,Hampden,Springfield,MA,Massachusetts
01013,Hampden,Springfield,MA,Massachusetts
01014,Hampden,Springfield,MA,Massachusetts
01020,Hampden,Springfield,MA,Massachusetts
01021,Hampden,Springfield,MA,Massachusetts
01022,Hampden,Springfield,MA,Massachusetts
01027,Hampshire,Springfield,MA,Massachusetts
01028,Hampden,Springfield,MA,Massachusetts
01030,Hampden,Springfield,MA,Massachusetts
01033,Hampshire,Springfield,MA,Massachusetts
01035,Hampshire,Springfield,MA,Massachusetts
01036,Hampden,Springfield,MA,Massachusetts
01038,Hampshire,Springfield,MA,Massachusetts
01040,Hampden,Springfield,MA,Massachusetts
01041,Hampden,Springfield,MA,Massachusetts
01050,Hampshire,Springfield,MA,Massachusetts
01056,Hampden,Springfield,MA,Massachusetts
01057,Hampden,Springfield,MA,Massachusetts
01059,Hampshire,Springfield,MA,Massachusetts
01060,Hampshire,Springfield,MA,Massachusetts
01061,Hampshire,Springfield,MA,Massachusetts
01062,Hampshire,Springfield,MA,Massachusetts
01063,Hampshire,Springfield,MA,Massachusetts
01066,Hampshire,Springfield,MA,Massachusetts
01068,Worcester,"Worcester, MA-CT",MA,Massachusetts
01069,Hampden,Springfield,MA,Massachusetts
01071,Hampden,Springfield,MA,Massachusetts
01073,Hampshire,Springfield,MA,Massachusetts
01074,Worcester,"Worcester, MA-CT",MA,Massachusetts
01075,Hampshire,Springfield,MA,Massachusetts
01077,Hampden,Springfield,MA,Massachusetts
01082,Hampshire,Springfield,MA,Massachusetts
01085,Hampden,Springfield,MA,Massachusetts
01086,Hampden,Springfield,MA,Massachusetts
01088,Hampshire,Springfield,MA,Massachusetts
01089,Hampden,Springfield,MA,Massachusetts
01090,Hampden,Springfield,MA,Massachusetts
01095,Hampden,Springfield,MA,Massachusetts
01096,Hampshire,Springfield,MA,Massachusetts
01097,Hampden,Springfield,MA,Massachusetts
01101,Hampden,Springfield,MA,Massachusetts
01102,Hampden,Springfield,MA,Massachusetts
01103,Hampden,Springfield,MA,Massachusetts
01104,Hampden,Springfield,MA,Massachusetts
01105,Hampden,Springfield,MA,Massachusetts
01106,Hampden,Springfield,MA,Massachusetts
01107,Hampden,Springfield,MA,Massachusetts
01108,Hampden,Springfield,MA,Massachusetts
01109,Hampden,Springfield,MA,Massachusetts
01111,Hampden,Springfield,MA,Massachusetts
01115,Hampden,Springfield,MA,Massachusetts
